observation_date,CALOSA7URN
2019-12-01,4.2
2020-01-01,4.9
2020-02-01,4.8
2020-03-01,6.7
2020-04-01,16.8
2020-05-01,18.9
2020-06-01,17.7
2020-07-01,18.5
2020-08-01,16.9
2020-09-01,11.4
2020-10-01,10.4
2020-11-01,10.4
2020-12-01,10.8
2021-01-01,11.1
2021-02-01,10.5
2021-03-01,10.5
2021-04-01,10.3
2021-05-01,9.5
2021-06-01,10.0
2021-07-01,9.5
2021-08-01,8.9
2021-09-01,7.7
2021-10-01,7.2
2021-11-01,6.4
2021-12-01,6.0
2022-01-01,6.6
2022-02-01,5.8
2022-03-01,5.2
2022-04-01,4.8
2022-05-01,4.6
2022-06-01,5.0
2022-07-01,4.9
2022-08-01,4.8
2022-09-01,4.4
2022-10-01,4.6
2022-11-01,4.6
2022-12-01,4.5
2023-01-01,5.1
2023-02-01,5.0
2023-03-01,4.8
2023-04-01,4.4
2023-05-01,4.7
2023-06-01,5.1
2023-07-01,5.3
2023-08-01,5.7
2023-09-01,5.4
2023-10-01,5.2
2023-11-01,5.0
2023-12-01,5.1
2024-01-01,5.6
2024-02-01,5.3
2024-03-01,5.3
2024-04-01,5.0
2024-05-01,5.4
2024-06-01,6.1
2024-07-01,6.7
2024-08-01,6.7
2024-09-01,6.0
2024-10-01,6.0
2024-11-01,6.0
2024-12-01,5.7
